run_id,base_run_id,replicate_index,scenario,scenario_family,load_profile,config_name,seed,duration_s,observation_window_s,messages_total,messages_delivered,messages_dropped,deadline_missed,delivered_ratio,dropped_ratio,deadline_missed_ratio,retransmissions_total,retransmission_ratio,average_queue_length,max_queue_length,channel_utilization,crypto_utilization,throughput_bps,latency_mean_s,latency_median_s,latency_p95_s,latency_p99_s,jitter_s,crypto_time_mean_s,crypto_time_total_s,crypto_share_latency_ratio,security_overhead_ratio,critical_count,critical_delivered_ratio,critical_deadline_met_ratio,critical_deadline_missed_ratio,critical_dropped_ratio,critical_loss_ratio,critical_retransmissions_total,critical_retransmission_ratio,critical_throughput_bps,critical_useful_throughput_bps,critical_latency_mean_s,critical_latency_median_s,critical_latency_p95_s,critical_latency_p99_s,critical_jitter_s,critical_classification_time_mean_s,critical_crypto_time_mean_s,critical_queue_time_mean_s,critical_tx_time_mean_s,critical_ack_time_mean_s,critical_crypto_share_latency_ratio,critical_security_overhead_ratio,control_count,control_delivered_ratio,control_deadline_met_ratio,control_deadline_missed_ratio,control_dropped_ratio,control_loss_ratio,control_retransmissions_total,control_retransmission_ratio,control_throughput_bps,control_useful_throughput_bps,control_latency_mean_s,control_latency_median_s,control_latency_p95_s,control_latency_p99_s,control_jitter_s,control_classification_time_mean_s,control_crypto_time_mean_s,control_queue_time_mean_s,control_tx_time_mean_s,control_ack_time_mean_s,control_crypto_share_latency_ratio,control_security_overhead_ratio,telemetry_count,telemetry_delivered_ratio,telemetry_deadline_met_ratio,telemetry_deadline_missed_ratio,telemetry_dropped_ratio,telemetry_loss_ratio,telemetry_retransmissions_total,telemetry_retransmission_ratio,telemetry_throughput_bps,telemetry_useful_throughput_bps,telemetry_latency_mean_s,telemetry_latency_median_s,telemetry_latency_p95_s,telemetry_latency_p99_s,telemetry_jitter_s,telemetry_classification_time_mean_s,telemetry_crypto_time_mean_s,telemetry_queue_time_mean_s,telemetry_tx_time_mean_s,telemetry_ack_time_mean_s,telemetry_crypto_share_latency_ratio,telemetry_security_overhead_ratio,background_count,background_delivered_ratio,background_deadline_met_ratio,background_deadline_missed_ratio,background_dropped_ratio,background_loss_ratio,background_retransmissions_total,background_retransmission_ratio,background_throughput_bps,background_useful_throughput_bps,background_latency_mean_s,background_latency_median_s,background_latency_p95_s,background_latency_p99_s,background_jitter_s,background_classification_time_mean_s,background_crypto_time_mean_s,background_queue_time_mean_s,background_tx_time_mean_s,background_ack_time_mean_s,background_crypto_share_latency_ratio,background_security_overhead_ratio
scenario_a_emergency_seed_131,scenario_a_emergency,0,A,A,emergency,scenario_a_emergency,131,15.0,15.333520106778522,135,132,3,19,0.9777777777777777,0.022222222222222223,0.14074074074074075,1,0.007407407407407408,1.1985294117647058,4,0.6761656767526323,0.41983966859339195,31368.533333333333,0.27269993303773976,0.23655999999999988,0.5522529784540898,0.6156308098268625,0.06367953470128694,0.04768607407407413,6.437620000000007,0.2220404344767253,0.18830781159139368,24,1.0,0.2916666666666667,0.7083333333333334,0.0,0.0,0,0.0,1433.6,819.2,0.2512205303533873,0.24416409106016057,0.490659000000003,0.5153300000000045,0.09228498584212486,0.0001,0.03406000000000013,0.07685083333333306,0.034,0.009999999999999823,0.19220824585654467,0.42857142857142855,34,1.0,0.9411764705882353,0.058823529411764705,0.0,0.0,1,0.029411764705882353,3191.4666666666667,2321.0666666666666,0.20241916586153214,0.14410676892643037,0.5014427277130087,0.5787406575579808,0.1341908345819488,0.0001,0.03661999999999967,0.08988038473460727,0.04323529411764705,0.00999999999999982,0.2544500852243631,0.2727272727272727,59,0.9661016949152542,0.9661016949152542,0.0,0.03389830508474576,0.03389830508474578,0,0.0,17024.0,15564.8,0.3014776734416127,0.27086827529375945,0.6023972758955454,0.625898368213351,0.09154885627062444,0.0001,0.05204779661016976,0.09813580402030493,0.09000000000000001,0.009830508474576088,0.2116694449137332,0.08571428571428572,18,0.9444444444444444,0.9444444444444444,0.0,0.05555555555555555,0.05555555555555558,0,0.0,9719.466666666667,9284.266666666666,0.3397646588481294,0.2955316343889929,0.5432708342958088,0.5980823250151902,0.10908692610692092,0.0001,0.07245999999999997,0.06835579942299931,0.154,0.00944444444444428,0.23459225590345775,0.04477611940298507
scenario_a_emergency_seed_132,scenario_a_emergency,1,A,A,emergency,scenario_a_emergency,132,15.0,15.0,166,164,2,33,0.9879518072289156,0.012048192771084338,0.19879518072289157,1,0.006024096385542169,3.2724550898203595,11,0.8851999999999992,0.5393306666666675,41984.0,0.4388967733740132,0.42866591742961657,0.8190857985013178,0.9172006901532729,0.07046120026816796,0.048734698795180796,8.089960000000012,0.14931117994094537,0.16865554873107472,24,0.9583333333333334,0.041666666666666664,0.9583333333333334,0.041666666666666664,0.04166666666666663,1,0.041666666666666664,1373.8666666666666,785.0666666666667,0.3993970476838853,0.3899662816708558,0.8081162816708578,0.8494662816708577,0.14050052012309086,0.0001,0.03406000000000017,0.23206147887049197,0.035416666666666666,0.009583333333333166,0.11997307650064035,0.42857142857142855,34,1.0,0.7058823529411765,0.29411764705882354,0.0,0.0,0,0.0,3191.4666666666667,2321.0666666666666,0.369497997331256,0.33496628167085785,0.7459662816708542,0.8086862816708555,0.13626255726463882,0.0001,0.03661999999999967,0.26259708394528053,0.041999999999999996,0.00999999999999982,0.165784708102026,0.2727272727272727,88,0.9886363636363636,0.9886363636363636,0.0,0.011363636363636364,0.011363636363636354,0,0.0,25984.0,23756.8,0.45957515007428273,0.4583624600209726,0.8413791260923487,0.9097435156495599,0.0930642929397301,0.0001,0.0520254545454548,0.2718455498384179,0.09000000000000001,0.00999999999999981,0.14833302723235373,0.08571428571428572,20,1.0,1.0,0.0,0.0,0.0,0,0.0,11434.666666666666,10922.666666666666,0.5132895059936682,0.4547331220929176,0.8401258950796416,0.9904366397504261,0.15792420875948848,0.0001,0.07245999999999983,0.2315047638841553,0.154,0.00999999999999981,0.16081577811327744,0.04477611940298507
scenario_a_emergency_seed_133,scenario_a_emergency,2,A,A,emergency,scenario_a_emergency,133,15.0,15.59069999999999,163,158,5,28,0.9693251533742331,0.03067484662576687,0.17177914110429449,0,0.0,2.1809815950920246,8,0.8321627636988714,0.5088944049978523,39406.933333333334,0.341419174154351,0.32331382428254685,0.6353068163489811,0.7153482042345721,0.06588574570142595,0.04867496932515344,7.93402000000001,0.17800202660312056,0.17018207504426713,24,1.0,0.041666666666666664,0.9583333333333334,0.0,0.0,0,0.0,1433.6,819.2,0.32040440629754036,0.2861642687662691,0.5239099999999981,0.6106899999999977,0.08437886055075804,0.0001,0.03406000000000017,0.16780497807034422,0.034,0.009999999999999823,0.13046224416835636,0.42857142857142855,34,1.0,0.8529411764705882,0.14705882352941177,0.0,0.0,0,0.0,3191.4666666666667,2321.0666666666666,0.2952395352565645,0.24211866108950542,0.6211599999999986,0.7289599999999988,0.1338381532255328,0.0001,0.036737647058823236,0.17496122725826674,0.041999999999999996,0.009999999999999813,0.18541463564207317,0.2727272727272727,85,0.9647058823529412,0.9647058823529412,0.0,0.03529411764705882,0.03529411764705881,0,0.0,24490.666666666668,22391.466666666667,0.35107794531853115,0.3294667373219067,0.6362769938583935,0.6696420256229069,0.07760325418971929,0.0001,0.05198000000000022,0.1658599111246676,0.09000000000000001,0.009647058823529238,0.18342496559073546,0.08571428571428572,20,0.9,0.9,0.0,0.1,0.09999999999999998,0,0.0,10291.2,9830.4,0.4040925042609954,0.3702818511381536,0.6104006198135595,0.6977395578762855,0.10749848622558277,0.0001,0.07245999999999989,0.13773630462173775,0.154,0.008999999999999831,0.19940083946125475,0.04477611940298507
scenario_a_emergency_seed_134,scenario_a_emergency,3,A,A,emergency,scenario_a_emergency,134,15.0,15.0,137,134,3,14,0.9781021897810219,0.021897810218978103,0.10218978102189781,2,0.014598540145985401,1.1618705035971224,5,0.6718666666666661,0.42518266666666726,29781.333333333332,0.2409610071451751,0.20284842347290777,0.512030425729646,0.632511376851052,0.06619633358614115,0.046552846715328534,6.377740000000009,0.24318287827676002,0.18920064574275272,24,1.0,0.5,0.5,0.0,0.0,0,0.0,1433.6,819.2,0.1859889415076637,0.15511737553436333,0.41191,0.42939000000000005,0.07188006174798985,0.0001,0.03406000000000017,0.04933977484099647,0.034,0.009999999999999823,0.2329298604889889,0.42857142857142855,34,1.0,0.9411764705882353,0.058823529411764705,0.0,0.0,2,0.058823529411764705,3191.4666666666667,2321.0666666666666,0.18958763857903155,0.1257700000000001,0.4447919782999247,0.6239181863324939,0.11669472346711827,0.0001,0.03661999999999967,0.07994310814673974,0.044470588235294116,0.010588235294117454,0.27643723511629203,0.2727272727272727,69,0.9710144927536232,0.9710144927536232,0.0,0.028985507246376812,0.02898550724637683,0,0.0,20010.666666666668,18295.466666666667,0.27244643407098396,0.23666591087427324,0.5130689482963596,0.5848373589456995,0.06452375443410734,0.0001,0.052037971014492986,0.09707314251442295,0.09000000000000001,0.009710144927536067,0.22988682568740065,0.08571428571428572,10,0.9,0.9,0.0,0.1,0.09999999999999998,0,0.0,5145.6,4915.2,0.3303139720120093,0.24169828327235443,0.5534727486304709,0.5813218527310252,0.15932514523897495,0.0001,0.07246000000000007,0.05088138979772501,0.154,0.008999999999999852,0.24646807057958184,0.04477611940298507
scenario_a_emergency_seed_135,scenario_a_emergency,4,A,A,emergency,scenario_a_emergency,135,15.0,15.37869999999999,146,142,4,20,0.9726027397260274,0.0273972602739726,0.136986301369863,0,0.0,1.178082191780822,5,0.7108533231027331,0.44779597755337025,32989.86666666667,0.24554456908173106,0.2072120384067837,0.48893000000000364,0.6117458004206979,0.060444398295564326,0.047167945205479525,6.886520000000011,0.2364211113189634,0.1822605527778294,24,1.0,0.20833333333333334,0.7916666666666666,0.0,0.0,0,0.0,1433.6,819.2,0.24959798513955414,0.21783317230093768,0.46633000000000485,0.4838100000000058,0.06940706580040616,0.0001,0.03406000000000017,0.0904513934746548,0.034,0.009999999999999823,0.17969647056749324,0.42857142857142855,34,1.0,0.9705882352941176,0.029411764705882353,0.0,0.0,0,0.0,3191.4666666666667,2321.0666666666666,0.18784806030343223,0.1549111324785497,0.4628680000000001,0.5103386000000009,0.11543401298173284,0.0001,0.03661999999999967,0.07969127818421921,0.041999999999999996,0.009999999999999813,0.26130218702070596,0.2727272727272727,76,0.9473684210526315,0.9473684210526315,0.0,0.05263157894736842,0.052631578947368474,0,0.0,21504.0,19660.8,0.2519986950608485,0.2024322658302804,0.527734727186969,0.6172285207675466,0.0654903305434813,0.0001,0.0520326315789476,0.07097410477257673,0.09000000000000001,0.00960526315789457,0.24585949077408265,0.08571428571428572,12,1.0,1.0,0.0,0.0,0.0,0,0.0,6860.8,6553.6,0.36003504730352115,0.3843345644702354,0.4971627818904498,0.5414212924587634,0.1272424973823619,0.0001,0.07246000000000001,0.08298357850779782,0.154,0.009999999999999806,0.21959760845121118,0.04477611940298507
scenario_a_emergency_seed_136,scenario_a_emergency,5,A,A,emergency,scenario_a_emergency,136,15.0,15.21700662878989,167,164,3,28,0.9820359281437125,0.017964071856287425,0.16766467065868262,1,0.005988023952095809,2.142857142857143,7,0.8832223266941417,0.536401159513007,42018.13333333333,0.3479639498075424,0.32799501196230896,0.6279199883894927,0.7124731192192214,0.06658794207699746,0.048876766467065944,8.162420000000012,0.17088340348633782,0.16791375574108613,24,1.0,0.041666666666666664,0.9583333333333334,0.0,0.0,0,0.0,1433.6,819.2,0.36927430820936136,0.3333155719681131,0.6953473799736689,0.7128273799736691,0.06868098822961387,0.0001,0.03406000000000017,0.19994641943697425,0.034,0.009999999999999823,0.1179802127149954,0.42857142857142855,34,1.0,0.8529411764705882,0.14705882352941177,0.0,0.0,1,0.029411764705882353,3191.4666666666667,2321.0666666666666,0.3095380470848209,0.28188331439495,0.5739942969828893,0.6214799999999966,0.13972147578083116,0.0001,0.03661999999999967,0.1901208161643091,0.04323529411764705,0.009999999999999813,0.16596232602192956,0.2727272727272727,88,0.9659090909090909,0.9659090909090909,0.0,0.03409090909090909,0.03409090909090906,0,0.0,25386.666666666668,23210.666666666668,0.3426411764147518,0.3218386934115598,0.618382261584529,0.7198964093744086,0.08759136653676897,0.0001,0.052025454545454784,0.15783203775953616,0.09000000000000001,0.009772727272727093,0.1814357629377172,0.08571428571428572,21,1.0,1.0,0.0,0.0,0.0,0,0.0,12006.4,11468.8,0.40812757597394494,0.3979222145469592,0.5897317738448908,0.628937089857092,0.12670373601135593,0.0001,0.07245999999999991,0.1458545968042212,0.154,0.009999999999999851,0.19509224065684797,0.04477611940298507
scenario_a_emergency_seed_137,scenario_a_emergency,6,A,A,emergency,scenario_a_emergency,137,15.0,15.033423759438461,151,146,5,25,0.9668874172185431,0.033112582781456956,0.16556291390728478,2,0.013245033112582781,1.5784313725490196,6,0.7797292345092411,0.480817950432737,35003.73333333333,0.2790745349409213,0.24970000000000248,0.551815390334662,0.6652205246146985,0.06535515698712979,0.04786980132450339,7.228340000000013,0.21724969387772608,0.17797920178072396,24,1.0,0.041666666666666664,0.9583333333333334,0.0,0.0,0,0.0,1433.6,819.2,0.29522530658453655,0.31240523433519796,0.41191,0.42939000000000005,0.060884039769693456,0.0001,0.03406000000000017,0.12690307896228536,0.034,0.009999999999999823,0.13206595448617028,0.42857142857142855,34,1.0,0.9411764705882353,0.058823529411764705,0.0,0.0,2,0.058823529411764705,3191.4666666666667,2321.0666666666666,0.2249953057253478,0.158910514434513,0.4938599999999994,0.8444199999999998,0.14479741388947184,0.0001,0.03661999999999967,0.11866204330879652,0.044470588235294116,0.010294117647058629,0.2422478581485067,0.2727272727272727,77,0.948051948051948,0.948051948051948,0.0,0.05194805194805195,0.051948051948051965,0,0.0,21802.666666666668,19933.866666666665,0.2832291159282591,0.24031723725135912,0.5546740695853273,0.6274619932945918,0.06467432923551816,0.0001,0.0520319480519483,0.1115495100257062,0.09000000000000001,0.009610389610389425,0.2295041428766218,0.08571428571428572,16,0.9375,0.9375,0.0,0.0625,0.0625,0,0.0,8576.0,8192.0,0.349772818557029,0.2890043292497073,0.6004975434122666,0.6387730759896969,0.09305079459469813,0.0001,0.07246000000000002,0.08022825745518586,0.154,0.00937499999999987,0.23292966808246532,0.04477611940298507
scenario_a_emergency_seed_138,scenario_a_emergency,7,A,A,emergency,scenario_a_emergency,138,15.0,15.257929833543546,149,147,2,27,0.9865771812080537,0.013422818791946308,0.18120805369127516,2,0.013422818791946308,1.9569536423841059,7,0.7559347910122942,0.4669296606894556,35575.46666666667,0.31978368325045725,0.2839298335435494,0.6402770775337407,0.7242013529401274,0.0667133995494477,0.047814630872483284,7.124380000000009,0.19053305272287324,0.1792176570299379,24,1.0,0.041666666666666664,0.9583333333333334,0.0,0.0,1,0.041666666666666664,1433.6,819.2,0.3314510075563701,0.322415887984949,0.4800798335435456,0.5437598335435475,0.08922689753258652,0.0001,0.034226666666666815,0.1719043951289442,0.035416666666666666,0.01041666666666648,0.12081466965334271,0.42857142857142855,34,1.0,0.8823529411764706,0.11764705882352941,0.0,0.0,1,0.029411764705882353,3191.4666666666667,2321.0666666666666,0.2594542398234155,0.2199479228742356,0.5602298335435547,0.651529833543555,0.1116774341841884,0.0001,0.03661999999999967,0.1454847513822085,0.04323529411764705,0.010294117647058643,0.20632056443402144,0.2727272727272727,75,0.9733333333333334,0.9733333333333334,0.0,0.02666666666666667,0.026666666666666616,0,0.0,21802.666666666668,19933.866666666665,0.32295770637677457,0.2704681299319569,0.6583530875909241,0.6944918883432357,0.07263483349260869,0.0001,0.05198000000000025,0.14174977532512262,0.09000000000000001,0.009866666666666486,0.20353329728433056,0.08571428571428572,16,1.0,1.0,0.0,0.0,0.0,0,0.0,9147.733333333334,8738.133333333333,0.4156045306694397,0.35221699561386877,0.7271556336533109,0.7324507848822037,0.12727376567252566,0.0001,0.07245999999999989,0.13191795413668073,0.154,0.0099999999999998,0.20062351855914792,0.04477611940298507
scenario_a_emergency_seed_139,scenario_a_emergency,8,A,A,emergency,scenario_a_emergency,139,15.0,15.20138256636416,155,150,5,24,0.967741935483871,0.03225806451612903,0.15483870967741936,3,0.01935483870967742,1.6582278481012658,7,0.8217673586901776,0.49726661157294877,37836.8,0.3047352959384446,0.2574333889771667,0.6897682927184471,0.7897479752429887,0.06429641133200573,0.048768645161290335,7.559140000000002,0.20504786970057215,0.1740134684766365,24,1.0,0.16666666666666666,0.8333333333333334,0.0,0.0,2,0.08333333333333333,1433.6,819.2,0.2651377747874864,0.258427421060508,0.4404560356133171,0.45386351551889764,0.05947948666939547,0.0001,0.03406000000000017,0.11497636038847167,0.036833333333333336,0.009999999999999823,0.15746124782896556,0.42857142857142855,34,1.0,0.8823529411764706,0.11764705882352941,0.0,0.0,1,0.029411764705882353,3191.4666666666667,2321.0666666666666,0.25457914755821054,0.174157893203685,0.6230132559530078,0.7362732559530081,0.1363062839912427,0.0001,0.03661999999999967,0.14008358424164788,0.04323529411764705,0.010294117647058629,0.22570922116212275,0.2727272727272727,75,0.9466666666666667,0.9466666666666667,0.0,0.05333333333333334,0.053333333333333344,0,0.0,21205.333333333332,19387.733333333334,0.32895373866458083,0.28063806946540426,0.7416397325645155,0.8048748286420676,0.08395020298370964,0.0001,0.052033333333333515,0.14689595406197958,0.09000000000000001,0.009599999999999826,0.19928739049136854,0.08571428571428572,22,0.9545454545454546,0.9545454545454546,0.0,0.045454545454545456,0.045454545454545414,0,0.0,12006.4,11468.8,0.3428837663062057,0.2553824396143629,0.6710311677429239,0.7525881685549706,0.08691518282284223,0.0001,0.07245999999999979,0.08559009527950129,0.154,0.009545454545454362,0.24466736587857704,0.04477611940298507
scenario_a_emergency_seed_140,scenario_a_emergency,9,A,A,emergency,scenario_a_emergency,140,15.0,15.209833091974991,157,155,2,24,0.9872611464968153,0.012738853503184714,0.15286624203821655,1,0.006369426751592357,1.6012658227848102,6,0.7908042072037068,0.49170690794404315,36872.53333333333,0.283764645159529,0.24703959723874647,0.5263479999999998,0.6494588958620614,0.06442725946356485,0.04763554140127394,7.478780000000008,0.20529686617875148,0.175235411987955,24,1.0,0.125,0.875,0.0,0.0,0,0.0,1433.6,819.2,0.26836159813500116,0.24253853597071684,0.4893012185178152,0.51939,0.08179595937537076,0.0001,0.03406000000000017,0.10273705916108891,0.034,0.009999999999999823,0.15649181562856407,0.42857142857142855,34,1.0,0.9117647058823529,0.08823529411764706,0.0,0.0,1,0.029411764705882353,3191.4666666666667,2321.0666666666666,0.24720746742359306,0.1875981305686123,0.5401999999999997,0.7718209760462414,0.13648867064225556,0.0001,0.03661999999999967,0.1331838012325359,0.04323529411764705,0.010294117647058636,0.21371303894019428,0.2727272727272727,86,0.9883720930232558,0.9883720930232558,0.0,0.011627906976744186,0.011627906976744207,0,0.0,25386.666666666668,23210.666666666668,0.2989320122344746,0.2874439385323426,0.538581273967357,0.6455845011068176,0.07205031956994,0.0001,0.05202651162790719,0.11975941958428264,0.09000000000000001,0.009883720930232378,0.2085218752391671,0.08571428571428572,13,0.9230769230769231,0.9230769230769231,0.0,0.07692307692307693,0.07692307692307687,0,0.0,6860.8,6553.6,0.30747415309531095,0.23656,0.45562085806455416,0.4761180064214922,0.0987415813655988,0.0001,0.07245999999999983,0.0529707308445242,0.154,0.009230769230769051,0.2520522938802669,0.04477611940298507
