message_id,src,dst,message_class,payload_bytes,full_size_bytes,generated_at,deadline_s,sequence_no,policy_version_id,retransmission_count,delivered,dropped,deadline_missed,drop_reason,classified_at,crypto_start_at,crypto_end_at,queue_enter_at,queue_leave_at,tx_start_at,tx_end_at,ack_wait_start_at,ack_received_at,delivered_at,dropped_at,classification_time_s,crypto_time_s,queue_time_s,tx_time_s,ack_time_s,total_latency_s,lifecycle_events_json,metadata_json
source_telemetry-48,source_telemetry,receiver,telemetry,512,536,9.854881324338493,1.5,48,scenario_c_priority_protected,0,True,False,False,,9.854981324338492,9.854981324338492,9.856502924338493,9.856502924338493,9.968291999999995,9.968291999999995,10.055291999999994,,,10.055291999999994,,0.0001,0.0015216000000002339,0.11178907566150187,0.08700000000000001,0.0,0.2004106756615016,"[{""event"": ""generated_at"", ""at"": 9.854881324338493}, {""event"": ""classified_at"", ""at"": 9.854981324338492}, {""event"": ""crypto_start_at"", ""at"": 9.854981324338492}, {""event"": ""crypto_end_at"", ""at"": 9.856502924338493}, {""event"": ""queue_enter_at"", ""at"": 9.856502924338493, ""attempt"": 1}, {""event"": ""queue_leave_at"", ""at"": 9.968291999999995, ""attempt"": 1}, {""event"": ""tx_start_at"", ""at"": 9.968291999999995, ""attempt"": 1}, {""event"": ""tx_end_at"", ""at"": 10.055291999999994, ""attempt"": 1}, {""event"": ""delivered_at"", ""at"": 10.055291999999994, ""attempt"": 1}]","{""aggregation_size"": 1, ""effective_tx_bytes"": 536.0}"
source_telemetry-49,source_telemetry,receiver,telemetry,512,536,10.019361478483537,1.5,49,scenario_c_priority_protected,0,True,False,False,,10.019461478483537,10.019461478483537,10.020983078483537,10.020983078483537,10.205791999999994,10.205791999999994,10.292791999999993,,,10.292791999999993,,0.0001,0.0015216000000002339,0.18480892151645634,0.08700000000000001,0.0,0.2734305215164561,"[{""event"": ""generated_at"", ""at"": 10.019361478483537}, {""event"": ""classified_at"", ""at"": 10.019461478483537}, {""event"": ""crypto_start_at"", ""at"": 10.019461478483537}, {""event"": ""crypto_end_at"", ""at"": 10.020983078483537}, {""event"": ""queue_enter_at"", ""at"": 10.020983078483537, ""attempt"": 1}, {""event"": ""queue_leave_at"", ""at"": 10.205791999999994, ""attempt"": 1}, {""event"": ""tx_start_at"", ""at"": 10.205791999999994, ""attempt"": 1}, {""event"": ""tx_end_at"", ""at"": 10.292791999999993, ""attempt"": 1}, {""event"": ""delivered_at"", ""at"": 10.292791999999993, ""attempt"": 1}]","{""aggregation_size"": 1, ""effective_tx_bytes"": 536.0}"
source_telemetry-50,source_telemetry,receiver,telemetry,512,536,10.302159415675312,1.5,50,scenario_c_priority_protected,0,True,False,False,,10.302259415675312,10.302259415675312,10.303781015675312,10.303781015675312,10.443291999999992,10.443291999999992,10.530291999999992,,,10.530291999999992,,0.0001,0.0015216000000002339,0.13951098432468,0.08700000000000001,0.0,0.22813258432467975,"[{""event"": ""generated_at"", ""at"": 10.302159415675312}, {""event"": ""classified_at"", ""at"": 10.302259415675312}, {""event"": ""crypto_start_at"", ""at"": 10.302259415675312}, {""event"": ""crypto_end_at"", ""at"": 10.303781015675312}, {""event"": ""queue_enter_at"", ""at"": 10.303781015675312, ""attempt"": 1}, {""event"": ""queue_leave_at"", ""at"": 10.443291999999992, ""attempt"": 1}, {""event"": ""tx_start_at"", ""at"": 10.443291999999992, ""attempt"": 1}, {""event"": ""tx_end_at"", ""at"": 10.530291999999992, ""attempt"": 1}, {""event"": ""delivered_at"", ""at"": 10.530291999999992, ""attempt"": 1}]","{""aggregation_size"": 1, ""effective_tx_bytes"": 536.0}"
source_telemetry-51,source_telemetry,receiver,telemetry,512,536,10.497574525938054,1.5,51,scenario_c_priority_protected,0,True,False,False,,10.497674525938054,10.497674525938054,10.499196125938054,10.499196125938054,10.605791999999992,10.605791999999992,10.692791999999992,,,10.692791999999992,,0.0001,0.0015216000000002339,0.10659587406193793,0.08700000000000001,0.0,0.19521747406193768,"[{""event"": ""generated_at"", ""at"": 10.497574525938054}, {""event"": ""classified_at"", ""at"": 10.497674525938054}, {""event"": ""crypto_start_at"", ""at"": 10.497674525938054}, {""event"": ""crypto_end_at"", ""at"": 10.499196125938054}, {""event"": ""queue_enter_at"", ""at"": 10.499196125938054, ""attempt"": 1}, {""event"": ""queue_leave_at"", ""at"": 10.605791999999992, ""attempt"": 1}, {""event"": ""tx_start_at"", ""at"": 10.605791999999992, ""attempt"": 1}, {""event"": ""tx_end_at"", ""at"": 10.692791999999992, ""attempt"": 1}, {""event"": ""delivered_at"", ""at"": 10.692791999999992, ""attempt"": 1}]","{""aggregation_size"": 1, ""effective_tx_bytes"": 536.0}"
source_critical-8,source_critical,receiver,critical,64,108,10.5,0.12,8,scenario_c_priority_protected,0,True,False,False,,10.5001,10.5001,10.501542,10.501542,10.530291999999992,10.530291999999992,10.563791999999992,10.563791999999992,10.573791999999992,10.563791999999992,,0.0001,0.0014420000000008315,0.028749999999991616,0.0335,0.009999999999999787,0.07379199999999209,"[{""event"": ""generated_at"", ""at"": 10.5}, {""event"": ""classified_at"", ""at"": 10.5001}, {""event"": ""crypto_start_at"", ""at"": 10.5001}, {""event"": ""crypto_end_at"", ""at"": 10.501542}, {""event"": ""queue_enter_at"", ""at"": 10.501542, ""attempt"": 1}, {""event"": ""queue_leave_at"", ""at"": 10.530291999999992, ""attempt"": 1}, {""event"": ""tx_start_at"", ""at"": 10.530291999999992, ""attempt"": 1}, {""event"": ""tx_end_at"", ""at"": 10.563791999999992, ""attempt"": 1}, {""event"": ""delivered_at"", ""at"": 10.563791999999992, ""attempt"": 1}, {""event"": ""ack_wait_start_at"", ""at"": 10.563791999999992, ""attempt"": 1}, {""event"": ""ack_received_at"", ""at"": 10.573791999999992, ""attempt"": 1}]","{""aggregation_size"": 1, ""effective_tx_bytes"": 108.0}"
source_command-15,source_command,receiver,control,128,176,10.5,0.45,15,scenario_c_priority_protected,0,True,False,False,,10.5001,10.501542,10.50379,10.50379,10.563791999999992,10.563791999999992,10.605791999999992,10.605791999999992,10.615791999999992,10.605791999999992,,0.0001,0.0022479999999998057,0.060001999999991895,0.041999999999999996,0.009999999999999787,0.1157919999999919,"[{""event"": ""generated_at"", ""at"": 10.5}, {""event"": ""classified_at"", ""at"": 10.5001}, {""event"": ""crypto_start_at"", ""at"": 10.501542}, {""event"": ""crypto_end_at"", ""at"": 10.50379}, {""event"": ""queue_enter_at"", ""at"": 10.50379, ""attempt"": 1}, {""event"": ""queue_leave_at"", ""at"": 10.563791999999992, ""attempt"": 1}, {""event"": ""tx_start_at"", ""at"": 10.563791999999992, ""attempt"": 1}, {""event"": ""tx_end_at"", ""at"": 10.605791999999992, ""attempt"": 1}, {""event"": ""delivered_at"", ""at"": 10.605791999999992, ""attempt"": 1}, {""event"": ""ack_wait_start_at"", ""at"": 10.605791999999992, ""attempt"": 1}, {""event"": ""ack_received_at"", ""at"": 10.615791999999992, ""attempt"": 1}]","{""aggregation_size"": 1, ""effective_tx_bytes"": 176.0}"
source_telemetry-52,source_telemetry,receiver,telemetry,512,536,10.6414827412105,1.5,52,scenario_c_priority_protected,0,True,False,False,,10.6415827412105,10.6415827412105,10.6431043412105,10.6431043412105,10.843291999999991,10.843291999999991,11.06154199999999,,,11.06154199999999,,0.0001,0.0015216000000002339,0.20018765878949019,0.21825,0.0,0.4200592587894896,"[{""event"": ""generated_at"", ""at"": 10.6414827412105}, {""event"": ""classified_at"", ""at"": 10.6415827412105}, {""event"": ""crypto_start_at"", ""at"": 10.6415827412105}, {""event"": ""crypto_end_at"", ""at"": 10.6431043412105}, {""event"": ""queue_enter_at"", ""at"": 10.6431043412105, ""attempt"": 1}, {""event"": ""queue_leave_at"", ""at"": 10.843291999999991, ""attempt"": 1}, {""event"": ""tx_start_at"", ""at"": 10.843291999999991, ""attempt"": 1}, {""event"": ""tx_end_at"", ""at"": 11.06154199999999, ""attempt"": 1}, {""event"": ""delivered_at"", ""at"": 11.06154199999999, ""attempt"": 1}]","{""aggregation_size"": 3, ""effective_tx_bytes"": 528.6666666666666}"
source_telemetry-53,source_telemetry,receiver,telemetry,512,536,10.658151965230742,1.5,53,scenario_c_priority_protected,0,True,False,False,,10.658251965230741,10.658251965230741,10.659773565230742,10.659773565230742,10.843291999999991,10.843291999999991,11.06154199999999,,,11.06154199999999,,0.0001,0.0015216000000002339,0.18351843476924934,0.21825,0.0,0.40339003476924873,"[{""event"": ""generated_at"", ""at"": 10.658151965230742}, {""event"": ""classified_at"", ""at"": 10.658251965230741}, {""event"": ""crypto_start_at"", ""at"": 10.658251965230741}, {""event"": ""crypto_end_at"", ""at"": 10.659773565230742}, {""event"": ""queue_enter_at"", ""at"": 10.659773565230742, ""attempt"": 1}, {""event"": ""queue_leave_at"", ""at"": 10.843291999999991, ""attempt"": 1}, {""event"": ""tx_start_at"", ""at"": 10.843291999999991, ""attempt"": 1}, {""event"": ""tx_end_at"", ""at"": 11.06154199999999, ""attempt"": 1}, {""event"": ""delivered_at"", ""at"": 11.06154199999999, ""attempt"": 1}]","{""aggregation_size"": 3, ""effective_tx_bytes"": 528.6666666666666}"
source_telemetry-54,source_telemetry,receiver,telemetry,512,536,10.671821513959665,1.5,54,scenario_c_priority_protected,0,True,False,False,,10.671921513959665,10.671921513959665,10.673443113959665,10.673443113959665,10.843291999999991,10.843291999999991,11.06154199999999,,,11.06154199999999,,0.0001,0.0015216000000002339,0.16984888604032555,0.21825,0.0,0.38972048604032494,"[{""event"": ""generated_at"", ""at"": 10.671821513959665}, {""event"": ""classified_at"", ""at"": 10.671921513959665}, {""event"": ""crypto_start_at"", ""at"": 10.671921513959665}, {""event"": ""crypto_end_at"", ""at"": 10.673443113959665}, {""event"": ""queue_enter_at"", ""at"": 10.673443113959665, ""attempt"": 1}, {""event"": ""queue_leave_at"", ""at"": 10.843291999999991, ""attempt"": 1}, {""event"": ""tx_start_at"", ""at"": 10.843291999999991, ""attempt"": 1}, {""event"": ""tx_end_at"", ""at"": 11.06154199999999, ""attempt"": 1}, {""event"": ""delivered_at"", ""at"": 11.06154199999999, ""attempt"": 1}]","{""aggregation_size"": 3, ""effective_tx_bytes"": 528.6666666666666}"
source_telemetry-55,source_telemetry,receiver,telemetry,512,536,10.929863033230234,1.5,55,scenario_c_priority_protected,0,True,False,False,,10.929963033230234,10.929963033230234,10.931484633230234,10.931484633230234,11.06154199999999,11.06154199999999,11.214166999999991,,,11.214166999999991,,0.0001,0.0015216000000002339,0.13005736676975665,0.15262499999999998,0.0,0.2843039667697571,"[{""event"": ""generated_at"", ""at"": 10.929863033230234}, {""event"": ""classified_at"", ""at"": 10.929963033230234}, {""event"": ""crypto_start_at"", ""at"": 10.929963033230234}, {""event"": ""crypto_end_at"", ""at"": 10.931484633230234}, {""event"": ""queue_enter_at"", ""at"": 10.931484633230234, ""attempt"": 1}, {""event"": ""queue_leave_at"", ""at"": 11.06154199999999, ""attempt"": 1}, {""event"": ""tx_start_at"", ""at"": 11.06154199999999, ""attempt"": 1}, {""event"": ""tx_end_at"", ""at"": 11.214166999999991, ""attempt"": 1}, {""event"": ""delivered_at"", ""at"": 11.214166999999991, ""attempt"": 1}]","{""aggregation_size"": 2, ""effective_tx_bytes"": 530.5}"
