load_profile,scenario_family,metric,count,mean,min,max,stddev,stderr,ci95_low,ci95_high
emergency,A,critical_latency_mean_s,30,0.286774140739145,0.1859889415076637,0.46174360979425394,0.06509268837022791,0.011884244583009339,0.2634810213564467,0.31006726012184327
emergency,B,critical_latency_mean_s,30,0.20407243001775957,0.15699010266144964,0.23955683543468134,0.022310285067309973,0.0040732821319121116,0.19608879703921184,0.2120560629963073
emergency,C,critical_latency_mean_s,30,0.15741038762367687,0.11238199184478788,0.2509611229216838,0.03713805919149407,0.006780450920381125,0.14412070381972986,0.1707000714276239
high,A,critical_latency_mean_s,30,0.42816543561147674,0.18484394209266045,1.1070096311880542,0.2574253482522903,0.0469992233704675,0.3360469578053604,0.5202839134175931
high,B,critical_latency_mean_s,30,0.15041773374723796,0.11786342497796301,0.19471619157768072,0.015476830584306019,0.002825669743236756,0.14487942105049392,0.155956046443982
high,C,critical_latency_mean_s,30,0.11301519165183925,0.07836615963319167,0.1659975446207718,0.023647100138904982,0.004317350055220602,0.10455318554360687,0.12147719776007163
normal,A,critical_latency_mean_s,30,0.15711516792165342,0.10231059910214858,0.2532146529058782,0.03591692782869135,0.0065575038560197665,0.14426246036385468,0.16996787547945216
normal,B,critical_latency_mean_s,30,0.12297688636477047,0.08594696273851224,0.17257302121393506,0.018227847020600742,0.00332793432931212,0.11645413507931872,0.12949963765022224
normal,C,critical_latency_mean_s,30,0.08513602063397858,0.05285234519956937,0.1274954320976092,0.015363900333490861,0.0028050515946380296,0.07963811950848805,0.09063392175946912
overload,A,critical_latency_mean_s,30,1.0235354584140877,0.7784533333333262,1.4384533333333258,0.15463074612811958,0.028231582579408575,0.9682015565584469,1.0788693602697286
overload,B,critical_latency_mean_s,30,0.2318954584140887,0.1687799999999938,0.3465866666666609,0.03965364093668559,0.007239731209410994,0.21770558524364317,0.24608533158453424
overload,C,critical_latency_mean_s,30,0.21061844260182083,0.15426699999999666,0.2936419999999977,0.03195261587713809,0.00583372282906875,0.19918434585684608,0.22205253934679559
